name,repeat
claire_open_en,1
claire_open_fr,1
common-pile_arxiv-abstracts_en,1
common-pile_arxiv-papers_en,1
common-pile_doab_en,1
common-pile_foodista_en,1
common-pile_github-archive_en,1
common-pile_libretexts_en,1
common-pile_news_en,1
common-pile_oercommons_en,1
common-pile_peS2o_en,1
common-pile_pressbooks_en,1
common-pile_public-domain-review_en,1
common-pile_python-enhancement-proposals_en,1
common-pile_regulations_en,1
common-pile_stackexchange_en,1
common-pile_data-provenance-initiative_en,1
croissant-aligned_aligned,1
fineweb2_ar,.4
fineweb2_de,.4
fineweb2_es,.4
fineweb2_fr,1
fineweb2_it,.4
fineweb2_nl,.4
fineweb2_pt,.4
dclm-dolmino_en,0.6
europarl_aligned,1
fineweb2_ca,0.036
fineweb2_regional,.4
culturax_fr,1
gutenberg_fr,1
hplt2_fr,1
insee_fr,1
finemath-filtered_3plus_math,1
infiwebmath-filtered_3plus_math,1
opendata_fr,1
opene-edition_fr,1
parlement_fr,1
starcoder_olmomix_code,1
stack-edu_code,0
wikimedia_nl,1
wikimedia-vikidia_ar,1
wikimedia-vikidia_de,1
wikimedia-vikidia_en,1.5
wikimedia-vikidia_es,1
wikimedia-vikidia_fr,1.5
wikimedia-vikidia_it,1
wikimedia-vikidia_pt,1
wikimedia-vikidia_ca,1
wikimedia-vikidia_regional,1
youtube_fr,1
hal-cea_fr,1
